"Country or Area";"Value"
"Afghanistan";"30262.00"
"Albania";"448.80"
"Algeria";"32806.50"
"American Samoa";"0.00"
"Andorra";"18.00"
"Angola";"40207.00"
"Antigua and Barbuda";"4.00"
"Argentina";"74681.00"
"Armenia";"1171.10"
"Australia";"331869.00"
"Austria";"1209.98"
"Azerbaijan";"2417.50"
"Bahamas";"2.00"
"Bahrain";"4.00"
"Bangladesh";"600.00"
"Barbados";"2.00"
"Belarus";"2454.00"
"Belgium";"476.28"
"Belize";"50.00"
"Benin";"550.00"
"Bhutan";"413.00"
"Bolivia (Plurinational State of)";"33000.00"
"Bosnia and Herzegovina";"1147.00"
"Botswana";"25600.00"
"Brazil";"173360.80"
"British Virgin Islands";"5.00"
"Brunei Darussalam";"3.40"
"Bulgaria";"1397.08"
"Burkina Faso";"6000.00"
"Burundi";"483.00"
"Cabo Verde";"25.00"
"Cambodia";"1500.00"
"Cameroon";"2000.00"
"Canada";"18560.00"
"Cayman Islands";"2.00"
"Central African Republic";"2990.00"
"Chad";"45000.00"
"Channel Islands";"4.94"
"Chile";"8783.64"
"China, Hong Kong SAR";"1.00"
"China, mainland";"392833.00"
"Colombia";"38220.00"
"Comoros";"15.00"
"Congo";"10000.00"
"Costa Rica";"1200.00"
"Côte d'Ivoire";"13200.00"
"Croatia";"540.00"
"Cuba";"2839.40"
"Cyprus";"2.19"
"Czechia";"1005.53"
"Democratic People's Republic of Korea";"50.00"
"Democratic Republic of the Congo";"18200.00"
"Denmark";"234.00"
"Djibouti";"1700.00"
"Dominica";"2.00"
"Dominican Republic";"1197.00"
"Ecuador";"3023.00"
"El Salvador";"314.70"
"Equatorial Guinea";"4.92"
"Eritrea";"6900.00"
"Estonia";"282.00"
"Eswatini";"1000.00"
"Ethiopia";"20000.00"
"Falkland Islands (Malvinas)";"1130.20"
"Faroe Islands";"96.00"
"Fiji";"173.00"
"Finland";"21.00"
"France";"9583.21"
"French Guiana";"13.70"
"French Polynesia";"20.00"
"Gabon";"1658.24"
"Gambia";"187.00"
"Georgia";"1940.00"
"Germany";"4730.00"
"Ghana";"5186.24"
"Greece";"2647.03"
"Greenland";"243.11"
"Grenada";"1.00"
"Guadeloupe";"25.30"
"Guam";"8.00"
"Guatemala";"1875.00"
"Guinea";"10700.00"
"Guinea-Bissau";"265.11"
"Guyana";"594.00"
"Haiti";"490.00"
"Honduras";"1958.00"
"Hungary";"754.49"
"Iceland";"1751.00"
"India";"10480.00"
"Indonesia";"11000.00"
"Iran (Islamic Republic of)";"29477.00"
